Geneid	F9C3	F9C4	F9D1	F9D3	F9D4
FBgn0031590	4797	5143	5341	5895	4663
FBgn0003941	47060	55732	44139	46152	44791
FBgn0265819	6	8	4	5	7
FBgn0267284	0	0	0	0	0
FBgn0264867	0	0	0	0	0
FBgn0264868	1	2	0	0	0
FBgn0266832	0	2	0	0	0
FBgn0266833	0	0	0	0	0
FBgn0266834	0	0	0	0	0
FBgn0264889	0	0	0	0	0
FBgn0031592	7	5	3	3	6
FBgn0010473	2145	1051	1936	1525	2081
FBgn0028482	1515	1481	1697	1352	1645
FBgn0020762	2882	2225	2507	2163	2492
FBgn0262375	0	0	0	0	0
FBgn0265908	3	2	0	0	0
FBgn0265909	2	1	2	2	0
FBgn0265910	2	1	1	1	0
FBgn0265911	0	0	0	0	0
FBgn0026319	355	285	285	253	230
FBgn0266903	4	3	0	1	0
FBgn0031597	527	494	613	797	524
FBgn0031598	1007	972	1127	1254	952
FBgn0261976	662	751	592	684	607
FBgn0027560	53017	61484	51565	43366	48164
FBgn0031600	730	878	829	982	828
FBgn0022153	2912	2566	3529	3687	2689
FBgn0053003	5	9	7	8	13
FBgn0031601	521	618	562	658	533
FBgn0031602	550	345	555	487	581
FBgn0262357	3287	3723	3144	2353	2982
FBgn0051963	0	0	0	0	0
FBgn0085206	0	0	0	0	0
FBgn0085207	0	0	0	0	0
